method,train_rmse,test_rmse,test_mae,train_r2,le90_formula,le90_empirical,iterations
Normal Equations,2.0893125534057617,2.06789231300354,1.4145399332046509,0.09953755140304565,3.4014759063720703,2.8250045776367188,1
SVD Least Squares,2.0893125534057617,2.06789231300354,1.4145398139953613,0.09953755140304565,3.4014759063720703,2.8250041007995605,1
PCA Regression (k=6),2.1031035359601353,2.0823821090162826,1.4275339268381066,0.08761100635497554,3.4253103311208832,2.837900558051749,1
Gradient Descent,2.089312884969797,2.067895309450562,1.4145384887124925,0.09953736627272003,3.4014809945152296,2.8251751022322615,300
Newton's Method,2.0893127862018384,2.067892337337071,1.4145399903493523,0.09953745140774672,3.401476105685748,2.8250039509574236,5
"IDW (k=8, spatial)",,1.4644154883610119,0.7233084776506767,,2.4088170368050283,1.668314502322438,1
"k-NN Mean, k=4 (Bilinear-style)",,1.4849168062210083,0.7593256831169128,,2.442539691925049,1.749100685119629,1
